object_type,object,columns,primary_keys,foreign_keys,rls_enabled,repository_references,classification,confidence
"production_only","public.account_activity_logs","9","1","","true","""api/settings.js;repositories/settings.repository.js;settings-2-prompt-summary.md;supabase/migrations/20260831000000_settings_privacy_2.sql""","UNKNOWN","LOW"
"production_only","public.account_deletion_requests","6","1","1","true","""IMPLEMENTATION-REPORT-SETTINGS-PRIVACY.md;api/account-settings.js;supabase/migrations/20260831_account_settings.sql;supabase/migrations/20260831_settings_rls_server_only.sql""","UNKNOWN","LOW"
"production_only","public.ad_activity_logs","6","1","2","true","""IMPLEMENTATION-REPORT-SETTINGS-PRIVACY.md;api/account-settings.js;api/settings.js;supabase/migrations/20260831_settings_rls_server_only.sql""","UNKNOWN","LOW"
"production_only","public.ad_postbacks","10","1","1","true","""""","UNKNOWN","MEDIUM"
"production_only","public.ad_reward_intents","10","1","2","true","""""","UNKNOWN","MEDIUM"
"production_only","public.daily_login_claims","5","2","1","true","""""","UNKNOWN","MEDIUM"
"production_only","public.daily_player_stats","9","2","1","true","""""","UNKNOWN","MEDIUM"
"production_only","public.data_exports","7","1","1","true","""IMPLEMENTATION-REPORT-SETTINGS-PRIVACY.md;api/account-settings.js;api/settings.js;supabase/migrations/20260831_account_settings.sql;supabase/migrations/20260831_settings_rls_server_only.sql""","UNKNOWN","LOW"
"production_only","public.data_usage_logs","7","1","1","true","""IMPLEMENTATION-REPORT-SETTINGS-PRIVACY.md;api/account-settings.js;api/settings.js;supabase/migrations/20260831_settings_rls_server_only.sql""","UNKNOWN","LOW"
"production_only","public.device_sessions","11","1","2","true","""IMPLEMENTATION-REPORT-SETTINGS-PRIVACY.md;api/account-settings.js;api/settings.js;supabase/migrations/20260831_settings_rls_server_only.sql""","UNKNOWN","LOW"
"production_only","public.gamequest_players","26","1","14","true","""""","UNKNOWN","MEDIUM"
"production_only","public.leaderboard_snapshots","5","2","1","true","""""","UNKNOWN","MEDIUM"
"production_only","public.link_history","6","1","1","true","""IMPLEMENTATION-REPORT-SETTINGS-PRIVACY.md;api/account-settings.js;api/settings.js;settings-2-prompt-summary.md;supabase/migrations/20260831_settings_rls_server_only.sql""","UNKNOWN","LOW"
"production_only","public.notification_settings","18","1","1","true","""IMPLEMENTATION-REPORT-SETTINGS-PRIVACY.md;api/account-settings.js;repositories/settings.repository.js;services/settings.service.js;supabase/migrations/20260831000000_settings_privacy_2.sql;supabase/migrations/20260831_account_settings.sql;supabase/migrations/20260831_settings_rls_server_only.sql""","UNKNOWN","LOW"
"production_only","public.player_guides","5","2","1","true","""""","UNKNOWN","MEDIUM"
"production_only","public.player_item_inventory","6","2","1","true","""""","UNKNOWN","MEDIUM"
"production_only","public.player_quests","9","1","2","true","""""","UNKNOWN","MEDIUM"
"production_only","public.player_reward_ledger","8","1","1","true","""""","UNKNOWN","MEDIUM"
"production_only","public.privacy_processing_requests","6","1","1","true","""IMPLEMENTATION-REPORT-SETTINGS-PRIVACY.md;supabase/migrations/20260831_settings_rls_server_only.sql""","UNKNOWN","LOW"
"production_only","public.privacy_settings","18","1","2","true","""IMPLEMENTATION-REPORT-SETTINGS-PRIVACY.md;api/account-settings.js;repositories/settings.repository.js;services/settings.service.js;settings-2-prompt-summary.md;supabase/migrations/20260831000000_settings_privacy_2.sql;supabase/migrations/20260831_account_settings.sql;supabase/migrations/20260831_settings_rls_server_only.sql""","UNKNOWN","LOW"
"production_only","public.promotion_preferences","9","1","","true","""api/settings.js;settings-2-prompt-summary.md;supabase/migrations/20260831000000_settings_privacy_2.sql""","UNKNOWN","LOW"
"production_only","public.qm_coin_ledger","9","1","1","true","""""","UNKNOWN","MEDIUM"
"production_only","public.qm_economy_config","5","1","","true","""""","UNKNOWN","MEDIUM"
"production_only","public.qm_player_inventory","4","2","2","true","""""","UNKNOWN","MEDIUM"
"production_only","public.qm_powerup_catalog","5","1","1","true","""""","UNKNOWN","MEDIUM"
"production_only","public.qm_question_answers","15","1","3","true","""""","UNKNOWN","MEDIUM"
"production_only","public.qm_question_sessions","13","1","2","true","""""","UNKNOWN","MEDIUM"
"production_only","public.qm_questions","14","1","1","true","""""","UNKNOWN","MEDIUM"
"production_only","public.quests","10","1","1","true","""""","UNKNOWN","MEDIUM"
